date,open,low,high,close,volume
2021-08-25 14:55:00,148.29000000,148.24000000,148.37000000,148.27000000,715028
2021-08-25 14:50:00,148.24000000,148.19000000,148.36000000,148.29000000,646500
2021-08-25 14:45:00,148.20000000,148.15000000,148.28000000,148.24000000,541456
2021-08-25 14:40:00,148.01000000,148.00000000,148.22000000,148.20000000,616819
2021-08-25 14:35:00,148.09000000,148.01000000,148.11000000,148.03000000,413067
2021-08-25 14:30:00,148.03000000,148.03000000,148.17000000,148.08000000,559557
2021-08-25 14:25:00,147.90000000,147.89000000,148.04000000,148.03000000,364104
2021-08-25 14:20:00,148.00000000,147.82000000,148.00000000,147.90000000,489132
2021-08-25 14:15:00,148.00000000,147.90000000,148.03000000,148.00000000,478783
2021-08-25 14:10:00,148.05000000,147.92000000,148.07000000,148.00000000,586465
2021-08-25 14:05:00,147.89000000,147.87000000,148.09000000,148.06000000,758176
2021-08-25 14:00:00,147.86000000,147.82000000,147.91000000,147.89000000,344454
2021-08-25 13:55:00,147.87000000,147.82000000,147.87000000,147.86000000,341495
2021-08-25 13:50:00,147.93000000,147.84000000,147.95000000,147.87000000,382091
2021-08-25 13:45:00,147.97000000,147.90000000,148.00000000,147.93000000,405867
2021-08-25 13:40:00,147.81000000,147.80000000,148.02000000,147.97000000,706791
2021-08-25 13:35:00,147.95000000,147.80000000,147.97000000,147.81000000,679766
2021-08-25 13:30:00,148.04000000,147.94000000,148.10000000,147.95000000,816098
2021-08-25 13:25:00,148.07000000,148.01000000,148.13000000,148.03000000,432683
2021-08-25 13:20:00,148.11000000,148.01000000,148.15000000,148.08000000,572401
2021-08-25 13:15:00,148.22000000,148.09000000,148.27000000,148.11000000,467009
2021-08-25 13:10:00,148.09000000,148.09000000,148.28000000,148.22000000,429203
2021-08-25 13:05:00,148.35000000,148.08000000,148.38000000,148.09000000,817587
2021-08-25 13:00:00,148.34000000,148.26000000,148.37000000,148.35000000,350459
2021-08-25 12:55:00,148.24000000,148.19000000,148.35000000,148.35000000,393642
2021-08-25 12:50:00,148.26000000,148.16000000,148.26000000,148.24000000,353642
2021-08-25 12:45:00,148.38000000,148.24000000,148.39000000,148.25000000,431458
2021-08-25 12:40:00,148.41000000,148.27000000,148.41000000,148.38000000,387847
2021-08-25 12:35:00,148.36000000,148.27000000,148.44000000,148.41000000,525093
2021-08-25 12:30:00,148.24000000,148.21000000,148.39000000,148.36000000,477448
2021-08-25 12:25:00,148.16000000,148.12000000,148.25000000,148.24000000,382888
2021-08-25 12:20:00,148.17000000,148.11000000,148.20000000,148.16000000,429472
2021-08-25 12:15:00,148.11000000,148.06000000,148.20000000,148.17000000,576672
2021-08-25 12:10:00,148.29000000,148.08000000,148.33000000,148.12000000,699293
2021-08-25 12:05:00,148.27000000,148.20000000,148.30000000,148.29000000,408093
2021-08-25 12:00:00,148.26000000,148.15000000,148.29000000,148.27000000,586358
2021-08-25 11:55:00,148.31000000,148.25000000,148.35000000,148.25000000,429136
2021-08-25 11:50:00,148.32000000,148.30000000,148.39000000,148.31000000,370112
2021-08-25 11:45:00,148.35000000,148.21000000,148.37000000,148.32000000,455453
